 INFO  Accepting connections at http://localhost:3000
 HTTP  19/3/2026 6:12:04 pm ::1 GET /
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 84 ms
 HTTP  19/3/2026 6:12:04 pm ::1 GET /css/style.css
 HTTP  19/3/2026 6:12:04 pm ::1 GET /asset/Book%20Front.jpg
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 5 ms
 HTTP  19/3/2026 6:12:04 pm ::1 GET /asset/Book%20Back.jpg
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 7 ms
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 7 ms
 HTTP  19/3/2026 6:12:04 pm ::1 GET /js/data.js
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 3 ms
 HTTP  19/3/2026 6:12:04 pm ::1 GET /js/app.js
 HTTP  19/3/2026 6:12:04 pm ::1 Returned 200 in 4 ms
 HTTP  19/3/2026 6:12:06 pm ::1 GET /asset/CRM.png
 HTTP  19/3/2026 6:12:06 pm ::1 GET /asset/cheque.png
 HTTP  19/3/2026 6:12:06 pm ::1 Returned 200 in 3 ms
 HTTP  19/3/2026 6:12:06 pm ::1 Returned 200 in 6 ms
 HTTP  19/3/2026 6:12:07 pm ::1 GET /favicon.ico
 HTTP  19/3/2026 6:12:07 pm ::1 Returned 404 in 3 ms
 HTTP  19/3/2026 6:12:11 pm ::1 GET /assets/blog/vibe-coding.png
 HTTP  19/3/2026 6:12:11 pm ::1 GET /assets/blog/ai-agriculture.png
 HTTP  19/3/2026 6:12:11 pm ::1 GET /assets/blog/interactive-web.png
 HTTP  19/3/2026 6:12:11 pm ::1 Returned 200 in 9 ms
 HTTP  19/3/2026 6:12:11 pm ::1 Returned 200 in 10 ms
 HTTP  19/3/2026 6:12:11 pm ::1 Returned 200 in 11 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /css/style.css
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 1 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /asset/Book%20Front.jpg
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 3 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /asset/Book%20Back.jpg
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 5 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /js/data.js
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:28 pm ::1 GET /js/app.js
 HTTP  19/3/2026 6:12:28 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:29 pm ::1 GET /asset/CRM.png
 HTTP  19/3/2026 6:12:29 pm ::1 GET /asset/cheque.png
 HTTP  19/3/2026 6:12:29 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:29 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:29 pm ::1 GET /favicon.ico
 HTTP  19/3/2026 6:12:29 pm ::1 Returned 404 in 2 ms
 HTTP  19/3/2026 6:12:34 pm ::1 GET /assets/blog/vibe-coding.png
 HTTP  19/3/2026 6:12:34 pm ::1 GET /assets/blog/ai-agriculture.png
 HTTP  19/3/2026 6:12:34 pm ::1 GET /assets/blog/interactive-web.png
 HTTP  19/3/2026 6:12:34 pm ::1 Returned 200 in 1 ms
 HTTP  19/3/2026 6:12:34 pm ::1 Returned 200 in 2 ms
 HTTP  19/3/2026 6:12:34 pm ::1 Returned 200 in 1 ms
 HTTP  19/3/2026 7:03:14 pm ::1 GET /
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 304 in 60 ms
 HTTP  19/3/2026 7:03:14 pm ::1 GET /css/style.css
 HTTP  19/3/2026 7:03:14 pm ::1 GET /asset/Book%20Front.jpg
 HTTP  19/3/2026 7:03:14 pm ::1 GET /asset/Book%20Back.jpg
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 200 in 33 ms
 HTTP  19/3/2026 7:03:14 pm ::1 GET /js/data.js
 HTTP  19/3/2026 7:03:14 pm ::1 GET /js/app.js
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 200 in 3 ms
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 200 in 4 ms
 HTTP  19/3/2026 7:03:14 pm ::1 GET /asset/CRM.png
 HTTP  19/3/2026 7:03:14 pm ::1 GET /asset/cheque.png
 HTTP  19/3/2026 7:03:14 pm ::1 GET /assets/blog/vibe-coding.png
 HTTP  19/3/2026 7:03:14 pm ::1 GET /assets/blog/ai-agriculture.png
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 304 in 6 ms
 HTTP  19/3/2026 7:03:14 pm ::1 Returned 304 in 5 ms
